# spike3 | isServerGC=False latencyMode=Interactive runtime=10.0.8 n=200 cycles=50 warmup=30
arm,cycle,n,pre_gc_managed_bytes,managed_floor_bytes,gc_heap_bytes,gc_committed_bytes,gc_fragmented_bytes,private_bytes,working_set_bytes,handle_count,loaded_assemblies,gen0,gen1,gen2,unloaded,gc_iters_to_unload,batch_millis,all_pass
control,0,200,33523216,19369880,22821808,43446272,3451928,201977856,310632448,877,103,8,6,4,True,2,31,True
control,1,200,19492840,19375592,22782664,42508288,3407072,200949760,309612544,877,103,11,9,7,True,2,5,True
control,2,200,19502208,19375592,22782664,42508288,3407072,201764864,310480896,877,103,14,12,10,True,2,7,True
control,3,200,19502208,19375592,22782664,42508288,3407072,202575872,311611392,877,103,17,15,13,True,2,14,True
control,4,200,19502208,19375592,22782664,42508288,3407072,202575872,311635968,877,103,20,18,16,True,2,3,True
control,5,200,19502208,19473944,22881048,42606592,3407104,202678272,311681024,877,103,23,21,19,True,2,4,True
control,6,200,19502208,19375592,22782664,31588352,3407072,191500288,300810240,877,103,26,24,22,True,2,4,True
control,7,200,19509456,19382816,22782664,31588352,3399848,191500288,300810240,877,103,29,27,25,True,2,6,True
control,8,200,19509432,19382816,22782664,27398144,3399848,187305984,296611840,877,103,32,30,28,True,2,4,True
control,9,200,19509432,19382816,22782664,27398144,3399848,187305984,296574976,877,103,35,33,31,True,2,6,True
control,10,200,19509432,19382816,22782664,27398144,3399848,187305984,296591360,877,103,38,36,34,True,2,6,True
control,11,200,19509432,19382816,22782664,27398144,3399848,187305984,296632320,877,103,41,39,37,True,2,3,True
control,12,200,19509432,19382816,22782664,27398144,3399848,187305984,296652800,877,103,44,42,40,True,2,7,True
control,13,200,19509432,19382816,22782664,27398144,3399848,187305984,296648704,877,103,47,45,43,True,2,5,True
control,14,200,19509432,19382816,22782664,27398144,3399848,187305984,296673280,877,103,50,48,46,True,2,4,True
control,15,200,19509432,19382848,22782664,27398144,3399816,187305984,296693760,877,103,53,51,49,True,2,6,True
control,16,200,19509464,19382848,22782664,27402240,3399816,187346944,296710144,877,103,56,54,52,True,2,5,True
control,17,200,19509464,19481200,22782664,27402240,3301464,187346944,296718336,877,103,59,57,55,True,2,6,True
control,18,200,19509464,19382848,22782664,27402240,3399816,187346944,296734720,877,103,62,60,58,True,2,6,True
control,19,200,19509464,19382848,22782664,27402240,3399816,187346944,296751104,877,103,65,63,61,True,2,5,True
control,20,200,19517688,19382848,22782664,27402240,3399816,187346944,296767488,877,103,68,66,64,True,2,4,True
control,21,200,19509464,19382848,22782664,27402240,3399816,187346944,296779776,877,103,71,69,67,True,2,6,True
control,22,200,19509464,19382848,22782664,27394048,3399816,187265024,296808448,877,103,74,72,70,True,2,6,True
control,23,200,19509464,19382848,22782664,27398144,3399816,187305984,296824832,877,103,77,75,73,True,2,9,True
control,24,200,19509464,19382848,22782664,27398144,3399816,188317696,297979904,877,103,80,78,76,True,2,4,True
control,25,200,19509464,19382848,22782664,27398144,3399816,188317696,297926656,877,103,83,81,79,True,2,6,True
control,26,200,19509464,19382848,22782664,27398144,3399816,188317696,297943040,877,103,86,84,82,True,2,6,True
control,27,200,19509464,19382848,22782664,27398144,3399816,188317696,297955328,877,103,89,87,85,True,2,5,True
control,28,200,19509464,19382848,22782664,27398144,3399816,188317696,297967616,877,103,92,90,88,True,2,6,True
control,29,200,19509464,19382848,22782664,27394048,3399816,188276736,297988096,877,103,95,93,91,True,2,6,True
control,30,200,19509464,19481200,22782664,27398144,3301464,188317696,297992192,877,103,98,96,94,True,2,7,True
control,31,200,19509464,19382848,22782664,27398144,3399816,188317696,298008576,877,103,101,99,97,True,2,6,True
control,32,200,19509472,19481200,22881048,27398144,3399848,188317696,298168320,877,103,104,102,100,True,2,13,True
control,33,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,107,105,103,True,2,6,True
control,34,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,110,108,106,True,2,6,True
control,35,200,19509472,19382848,22782664,27398144,3399816,188317696,298188800,877,103,113,111,109,True,2,8,True
control,36,200,19509472,19382848,22782664,27398144,3399816,188317696,298201088,877,103,116,114,112,True,2,6,True
control,37,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,119,117,115,True,2,11,True
control,38,200,19509472,19382848,22782664,27398144,3399816,188317696,298172416,877,103,122,120,118,True,2,12,True
control,39,200,19509472,19382848,22782664,27398144,3399816,188317696,298180608,877,103,125,123,121,True,2,21,True
control,40,200,19509472,19382848,22782664,27398144,3399816,188317696,298209280,877,103,128,126,124,True,2,17,True
control,41,200,19509472,19382848,22782664,27398144,3399816,184569856,294461440,877,103,131,129,127,True,2,7,True
control,42,200,19509472,19382848,22782664,27398144,3399816,184569856,294481920,877,103,134,132,130,True,2,197,True
control,43,200,19505816,18763352,22163752,26910720,3400400,184082432,293994496,877,103,137,135,133,True,2,9,True
control,44,200,18886312,18763352,22163752,26910720,3400400,184139776,294047744,877,103,140,138,136,True,2,6,True
control,45,200,18886112,18763352,22163752,26910720,3400400,184139776,294068224,877,103,143,141,139,True,2,7,True
control,46,200,18886112,18763352,22163752,26910720,3400400,184139776,294088704,877,103,146,144,142,True,2,14,True
control,47,200,18886112,18763352,22163752,26910720,3400400,184139776,294100992,876,103,149,147,145,True,2,15,True
control,48,200,18886112,18763352,22163752,26910720,3400400,184139776,294117376,876,103,152,150,148,True,2,8,True
control,49,200,18886112,18763352,22163752,26910720,3400400,184385536,294322176,876,103,155,153,151,True,2,12,True
real,0,200,19882000,18785568,22163104,26910720,3377536,191565824,303812608,882,104,158,156,154,True,2,3090,True
real,1,200,19781760,18786872,22162608,26910720,3375736,191578112,304263168,882,104,161,159,157,True,2,2714,True
real,2,200,19772504,18695000,22513592,27127808,3818592,187916288,299532288,882,104,164,162,160,True,2,1933,True
real,3,200,19680000,18693176,22501984,27127808,3808808,187961344,299536384,882,104,167,165,163,True,2,1597,True
