# spike3 | isServerGC=False latencyMode=Interactive runtime=10.0.8 n=200 cycles=50 warmup=5
arm,cycle,n,pre_gc_managed_bytes,managed_floor_bytes,gc_heap_bytes,gc_committed_bytes,gc_fragmented_bytes,private_bytes,working_set_bytes,handle_count,loaded_assemblies,gen0,gen1,gen2,unloaded,gc_iters_to_unload,batch_millis,all_pass
control,0,200,33527904,19373392,20821576,43261952,1448184,201814016,310792192,863,103,8,6,4,True,2,24,True
control,1,200,19496352,19379104,20800336,43261952,1421232,201773056,310714368,863,103,11,9,7,True,2,3,True
control,2,200,19505720,19371272,20800184,43261952,1428912,201773056,310714368,863,103,14,12,10,True,2,3,True
control,3,200,19497888,19371272,20793192,43261952,1421920,201773056,310714368,863,103,17,15,13,True,2,4,True
control,4,200,19497888,19371272,20793192,43261952,1421920,202584064,311705600,863,103,20,18,16,True,2,2,True
control,5,200,19497888,19371272,20793192,43261952,1421920,203399168,312901632,863,103,23,21,19,True,2,8,True
control,6,200,19506112,19372600,20794872,27983872,1422272,187920384,297713664,863,103,26,24,22,True,2,4,True
control,7,200,19506464,19379824,20802096,27987968,1422272,187961344,297721856,863,103,29,27,25,True,2,3,True
control,8,200,19506440,19379824,20802096,27987968,1422272,187961344,297709568,863,103,32,30,28,True,2,4,True
control,9,200,19506440,19478176,20900480,28086272,1422304,188059648,297824256,863,103,35,33,31,True,2,5,True
control,10,200,19506440,19379824,20802096,28086272,1422272,188059648,297865216,863,103,38,36,34,True,2,3,True
control,11,200,19506440,19478176,20802096,28086272,1323920,188059648,297893888,863,103,41,39,37,True,2,5,True
control,12,200,19506440,19379824,20802096,28086272,1422272,188059648,297947136,863,103,44,42,40,True,2,5,True
control,13,200,19506440,19379824,20802096,28086272,1422272,188059648,297902080,863,103,47,45,43,True,2,5,True
control,14,200,19506440,19379824,20802096,28082176,1422272,188018688,297918464,863,103,50,48,46,True,2,5,True
control,15,200,19506440,19379824,20802096,28086272,1422272,188059648,297951232,863,103,53,51,49,True,2,5,True
control,16,200,19506440,19379824,20802096,28086272,1422272,188059648,297975808,863,103,56,54,52,True,2,5,True
control,17,200,19514664,19388080,20802128,28086272,1422272,188059648,298000384,863,103,59,57,55,True,2,3,True
control,18,200,19506496,19379856,20802128,28086272,1422272,188059648,298020864,863,103,62,60,58,True,2,3,True
control,19,200,19506472,19379856,20802128,28086272,1422272,188059648,298029056,863,103,65,63,61,True,2,5,True
control,20,200,19506472,19379856,20802128,28086272,1422272,188059648,298045440,863,103,68,66,64,True,2,3,True
control,21,200,19506472,19379856,20802128,28086272,1422272,188059648,298065920,863,103,71,69,67,True,2,4,True
control,22,200,19506496,19379856,20802128,28086272,1422272,188059648,298082304,863,103,74,72,70,True,2,8,True
control,23,200,19506472,19379856,20802128,28086272,1422272,188059648,298057728,863,103,77,75,73,True,2,4,True
control,24,200,19506472,19379856,20802128,28086272,1422272,188059648,298070016,863,103,80,78,76,True,2,3,True
control,25,200,19506472,19379856,20802128,28086272,1422272,188059648,298082304,863,103,83,81,79,True,2,4,True
control,26,200,19506472,19379856,20802128,28086272,1422272,189210624,299229184,863,103,86,84,82,True,2,3,True
control,27,200,19506472,19478208,20802128,28086272,1323920,189210624,299245568,863,103,89,87,85,True,2,3,True
control,28,200,19506472,19379856,20802128,28086272,1422272,189210624,299261952,863,103,92,90,88,True,2,5,True
control,29,200,19506472,19379856,20802128,28082176,1422272,189169664,299274240,863,103,95,93,91,True,2,4,True
control,30,200,19604824,19379856,20802128,28086272,1422272,189210624,299319296,863,103,98,96,94,True,2,4,True
control,31,200,19506472,19379856,20802128,28086272,1422272,189214720,299335680,863,103,101,99,97,True,2,2,True
control,32,200,19506480,19379856,20802128,28086272,1422272,189214720,299356160,863,103,104,102,100,True,2,5,True
control,33,200,19506480,19379856,20802128,28086272,1422272,189214720,299302912,863,103,107,105,103,True,2,4,True
control,34,200,19506480,19388080,20802128,28086272,1422272,189214720,299438080,863,103,110,108,106,True,2,5,True
control,35,200,19506504,19379856,20802128,28086272,1422272,189214720,299442176,863,103,113,111,109,True,2,3,True
control,36,200,19506480,19379856,20802128,28082176,1422272,189173760,299442176,863,103,116,114,112,True,2,5,True
control,37,200,19506480,19379856,20802128,28086272,1422272,189214720,299446272,863,103,119,117,115,True,2,3,True
control,38,200,19506480,19379856,20802128,28086272,1422272,189214720,299462656,863,103,122,120,118,True,2,4,True
control,39,200,19506480,19478208,20900512,28086272,1422304,189214720,299474944,863,103,125,123,121,True,2,4,True
control,40,200,19506480,19379856,20802128,28086272,1422272,189214720,299495424,863,103,128,126,124,True,2,5,True
control,41,200,19506480,19379856,20802128,28086272,1422272,189214720,299507712,863,103,131,129,127,True,2,5,True
control,42,200,19506480,19379856,20802128,28086272,1422272,189214720,299532288,863,103,134,132,130,True,2,6,True
control,43,200,19502816,19379856,20802128,28086272,1422272,189214720,299532288,863,103,137,135,133,True,2,3,True
control,44,200,19502816,19379856,20802128,28082176,1422272,189173760,299528192,863,103,140,138,136,True,2,3,True
control,45,200,19502816,19379856,20802128,28086272,1422272,189214720,299548672,863,103,143,141,139,True,2,5,True
control,46,200,19502616,19379856,20802128,28086272,1422272,189214720,299548672,863,103,146,144,142,True,2,3,True
control,47,200,19502616,19379856,20802128,28086272,1422272,189218816,299601920,863,103,149,147,145,True,2,3,True
control,48,200,19502616,19478208,20802128,28086272,1323920,190017536,299671552,863,103,152,150,148,True,2,2,True
control,49,200,19502616,19379856,20802128,28086272,1422272,190017536,299679744,863,103,155,153,151,True,2,2,True
real,0,200,20548280,19398520,20821488,28151808,1422968,190164992,301711360,867,104,158,156,154,True,2,1287,True
real,1,200,20411200,18748712,20192408,27619328,1443696,192950272,305688576,869,104,161,159,157,True,2,1537,True
real,2,200,19734552,18749392,20175552,27619328,1426160,192950272,305684480,869,104,164,162,160,True,2,1501,True
real,3,200,19734848,18749280,20175440,27619328,1426160,192950272,305623040,869,104,167,165,163,True,2,1507,True
real,4,200,19726456,18749464,20175624,27619328,1426160,190132224,301363200,869,104,170,168,166,True,2,1328,True
real,5,200,19727096,18672416,20528600,27844608,1856184,190418944,301629440,869,104,173,171,169,True,2,1354,True
real,6,200,19667032,18671928,20527352,27844608,1855424,190418944,301604864,868,104,176,174,172,True,2,2023,True
real,7,200,19657720,18671824,20527248,27844608,1855424,190418944,301600768,868,104,179,177,175,True,2,1657,True
real,8,200,19657696,18628328,20502704,27844608,1874376,189108224,300691456,780,104,182,180,178,True,2,1558,True
real,9,200,19613024,18627952,20494304,25059328,1866352,186355712,297922560,780,104,185,183,181,True,2,1462,True
real,10,200,19621032,18628136,20480192,25059328,1852056,186355712,297918464,780,104,188,186,184,True,2,1372,True
real,11,200,19604816,18628136,20480192,25059328,1852056,186355712,297918464,780,104,191,189,187,True,2,1368,True
real,12,200,19620928,18623216,20481296,25059328,1858080,186355712,297926656,780,104,194,192,190,True,2,1434,True
real,13,200,19599392,18622664,20480744,25059328,1858080,186355712,297926656,780,104,197,195,193,True,2,1546,True
real,14,200,19750944,18647536,20502008,25059328,1854472,186458112,298070016,788,104,200,198,196,True,2,1402,True
real,15,200,19624264,18647416,20501888,25059328,1854472,186470400,298082304,788,104,203,201,199,True,2,1575,True
real,16,200,19624136,18647824,20501832,25055232,1854008,186429440,298078208,788,104,206,204,202,True,2,1574,True
real,17,200,19632088,18648160,20502632,25055232,1854472,186429440,298082304,788,104,209,207,205,True,2,1379,True
real,18,200,19640632,18648232,20502704,25055232,1854472,186429440,298082304,788,104,212,210,208,True,2,1327,True
real,19,200,19632424,18647608,20502208,25055232,1854600,186396672,298016768,788,104,215,213,211,True,2,1278,True
real,20,200,19624776,18648712,20503312,25055232,1854600,186396672,298016768,788,104,218,216,214,True,2,1529,True
real,21,200,19633688,18648272,20502872,25055232,1854600,186396672,298016768,788,104,221,219,217,True,2,1428,True
real,22,200,19633304,18648344,20503072,25055232,1854728,186347520,297984000,785,104,224,222,220,True,2,1609,True
real,23,200,19632840,18647600,20502328,25055232,1854728,186347520,297984000,785,104,227,225,223,True,2,1591,True
real,24,200,19639744,18647136,20502400,25055232,1855264,186400768,298037248,788,104,230,228,226,True,2,1572,True
real,25,200,19631880,18646888,20499048,25055232,1852160,186400768,298057728,785,104,233,231,229,True,2,1629,True
real,26,200,19631280,18647456,20499616,25055232,1852160,186400768,298061824,785,104,236,234,232,True,2,1589,True
real,27,200,19632352,18641080,20497496,25055232,1856416,186232832,297930752,778,104,239,237,235,True,2,1557,True
real,28,200,19625456,18641032,20496112,25059328,1855080,186281984,297938944,778,104,242,240,238,True,2,1439,True
real,29,200,19625760,18673384,20495720,25059328,1822336,186281984,297947136,778,104,245,243,241,True,2,1285,True
real,30,200,19559640,18575472,20459912,25059328,1884440,186404864,298119168,778,104,248,246,244,True,2,1291,True
real,31,200,19568936,18575584,20460024,25059328,1884440,186404864,298098688,778,104,251,249,247,True,2,1339,True
real,32,200,19568576,18575160,20459600,25059328,1884440,186404864,298106880,778,104,254,252,250,True,2,1511,True
real,33,200,19560256,18575712,20460152,25059328,1884440,186597376,298106880,778,104,257,255,253,True,2,1608,True
real,34,200,19560832,18574840,20459280,25059328,1884440,186597376,298094592,778,104,260,258,256,True,2,1588,True
real,35,200,19559832,18575392,20459832,25055232,1884440,186556416,298094592,778,104,263,261,259,True,2,1442,True
real,36,200,19551912,18574896,20459336,25055232,1884440,186503168,298057728,775,104,266,264,262,True,2,1415,True
real,37,200,19560208,18575512,20459952,25055232,1884440,186503168,298053632,775,104,269,267,265,True,2,1468,True
real,38,200,19568112,18574592,20459032,25055232,1884440,186503168,298053632,775,104,272,270,268,True,2,1490,True
real,39,200,19551352,18574464,20458904,25055232,1884440,186503168,298053632,775,104,275,273,271,True,2,1666,True
real,40,200,19566176,18575256,20459696,25055232,1884440,186503168,298053632,775,104,278,276,274,True,2,1550,True
real,41,200,19560032,18575200,20459640,25055232,1884440,186503168,298053632,775,104,281,279,277,True,2,1560,True
